Dla 1.51352e+10 wyliczono :  5781114065,2 9354039050,3 24489192165,8 39624345281,3 18708078100,6 3572924985,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+11 wyliczono :  57811140713,2 93540390602,3 244891921917,8 396243453233,3 187080781204,6 35729249889,1 
Dla 1.51352e+10 wyliczono :  5781114141,6 9354039173,9 24489192489,4 39624345804,9 18708078347,8 3572925032,3 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919248,9 3962434580,5 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+09 wyliczono :  578111414,2 935403917,4 2448919249,0 3962434580,6 1870807834,8 357292503,2 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,7 244891924,9 396243458,1 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+08 wyliczono :   57811141,4  93540391,8 244891925,0 396243458,2 187080783,5  35729250,3 
Dla 1.51352e+07 wyliczono :    5781114,1   9354039,2  24489192,5  39624345,8  18708078,4   3572925,0 
Dla 1.51352e+07 wyliczono :    5781114,1   9354039,2  24489192,5  39624345,8  18708078,3   3572925,0 
Dla 1.51352e+07 wyliczono :    5781114,1   9354039,2  24489192,5  39624345,8  18708078,3   3572925,0 
Dla   15.1352 wyliczono :          5,8         9,4        24,5        39,6        18,7         3,6 
